Experiment,Location,Community,Kingdom,Common name,S,RYT,MRY,ECS, TO,CV_K,RSE,alpha_ij,a_ij,alpha_ji,a_ji,a_mean,sd_a
Field,Ireland,Mammals,Animalia,Mammals,2,1.13,0.57,1.13,1.13,0,0.96,0.81,0.81,0.69,0.7,0.75,0.08
Field,Ireland,Mammals,Animalia,Mammals,2,1.01,0.5,0.96,1.01,0.07,1,1.09,0.98,0.89,0.98,0.98,0
Field,Ireland,Mammals,Animalia,Mammals,2,1.05,0.53,1.05,1.05,0.01,0.94,0.87,0.86,0.91,0.92,0.89,0.04
Field,Ireland,Mammals,Animalia,Mammals,2,1.14,0.57,1.13,1.14,0.01,1,0.75,0.74,0.77,0.78,0.76,0.03
Field,Ireland,Mammals,Animalia,Mammals,2,1.14,0.57,1.13,1.14,0.01,0.96,0.81,0.81,0.68,0.68,0.74,0.09
Field,South Africa,Mammals,Animalia,Mammals,2,1.05,0.53,0.87,1.26,0.62,0.85,2.11,0.82,0.36,0.93,0.87,0.08
Field,South Africa,Mammals,Animalia,Mammals,2,0.97,0.49,0.69,1,0.62,1,2.72,1.06,0.41,1.05,1.05,0
Field,South Africa,Mammals,Animalia,Mammals,2,1.1,0.55,0.61,0.88,0.62,0.83,2.24,0.87,0.25,0.64,0.76,0.16
Field,South Africa,Mammals,Animalia,Mammals,2,0.94,0.47,0.76,1.12,0.68,0.88,3.42,1.21,0.38,1.09,1.15,0.08
Field,South Africa,Mammals,Animalia,Mammals,2,1.11,0.56,0.72,1.06,0.68,0.99,2.32,0.82,0.28,0.78,0.8,0.03
Field,South Africa,Mammals,Animalia,Mammals,2,1.09,0.55,0.53,0.79,0.68,0.74,2.53,0.89,0.21,0.6,0.75,0.21
Field,South Africa,Mammals,Animalia,Mammals,2,1.02,0.51,0.85,1.23,0.64,0.83,2.48,0.94,0.37,0.98,0.96,0.03
Field,South Africa,Mammals,Animalia,Mammals,2,1.1,0.55,0.74,1.08,0.63,1,2.17,0.83,0.31,0.81,0.82,0.01
Field,South Africa,Mammals,Animalia,Mammals,2,1.08,0.54,0.56,0.81,0.63,0.76,2.36,0.9,0.25,0.64,0.77,0.18
Field,South Africa,Mammals,Animalia,Mammals,2,1.04,0.52,0.91,1.21,0.46,0.8,1.69,0.85,0.48,0.95,0.9,0.07
Field,South Africa,Mammals,Animalia,Mammals,2,1.07,0.54,0.82,1.08,0.46,1,1.7,0.86,0.44,0.87,0.86,0
Field,South Africa,Mammals,Animalia,Mammals,2,1.06,0.53,0.66,0.88,0.46,0.8,1.84,0.93,0.4,0.78,0.86,0.1
Microcosm,,Phytoplankton,Protist/Bacteria,Phytoplankton,2,1.58,0.79,0.89,1.76,1.4,0.99,0,0.34,28.57,0.17,0.25,0.12
Microcosm,,Phytoplankton,Protist/Bacteria,Phytoplankton,2,1.73,0.87,0.84,1.67,1.4,1,0,0.12,33.33,0.19,0.15,0.05
